# Detection Metadata
detection_timestamp_utc,detection_timestamp_local,timezone_offset_hours,confidence,fall_detected,participant_name,participant_gender
2026-01-13T14:19:30.001815+00:00,2026-01-13T16:19:30.001815+00:00,2.0,0.003098119283095002,False,Sato_1,0

# Sensor Data
time,field,value,measurement,prediction,participant_gender
2026-01-13 14:19:18.094246+00:00,ground_truth,1.0,SMART_DATA,0,0
2026-01-13 14:19:16.699000+00:00,bosch_acc_x,-3108.0,SMART_DATA,0,0
2026-01-13 14:19:16.719000+00:00,bosch_acc_x,-3214.0,SMART_DATA,0,0
2026-01-13 14:19:16.739000+00:00,bosch_acc_x,-3132.0,SMART_DATA,0,0
2026-01-13 14:19:16.759000+00:00,bosch_acc_x,-3190.0,SMART_DATA,0,0
2026-01-13 14:19:16.779000+00:00,bosch_acc_x,-3369.0,SMART_DATA,0,0
2026-01-13 14:19:16.799000+00:00,bosch_acc_x,-3486.0,SMART_DATA,0,0
2026-01-13 14:19:16.819000+00:00,bosch_acc_x,-3570.0,SMART_DATA,0,0
2026-01-13 14:19:16.840000+00:00,bosch_acc_x,-3765.0,SMART_DATA,0,0
2026-01-13 14:19:16.860000+00:00,bosch_acc_x,-3996.0,SMART_DATA,0,0
2026-01-13 14:19:16.880000+00:00,bosch_acc_x,-4185.0,SMART_DATA,0,0
2026-01-13 14:19:16.900000+00:00,bosch_acc_x,-4582.0,SMART_DATA,0,0
2026-01-13 14:19:16.920000+00:00,bosch_acc_x,-4863.0,SMART_DATA,0,0
2026-01-13 14:19:16.940000+00:00,bosch_acc_x,-5170.0,SMART_DATA,0,0
2026-01-13 14:19:16.960000+00:00,bosch_acc_x,-5899.0,SMART_DATA,0,0
2026-01-13 14:19:16.980000+00:00,bosch_acc_x,-5956.0,SMART_DATA,0,0
2026-01-13 14:19:17+00:00,bosch_acc_x,-5047.0,SMART_DATA,0,0
2026-01-13 14:19:17.020000+00:00,bosch_acc_x,-4536.0,SMART_DATA,0,0
2026-01-13 14:19:17.040000+00:00,bosch_acc_x,-4556.0,SMART_DATA,0,0
2026-01-13 14:19:17.060000+00:00,bosch_acc_x,-5168.0,SMART_DATA,0,0
2026-01-13 14:19:17.081000+00:00,bosch_acc_x,-5590.0,SMART_DATA,0,0
2026-01-13 14:19:17.101000+00:00,bosch_acc_x,-5664.0,SMART_DATA,0,0
2026-01-13 14:19:17.121000+00:00,bosch_acc_x,-5670.0,SMART_DATA,0,0
2026-01-13 14:19:17.141000+00:00,bosch_acc_x,-5589.0,SMART_DATA,0,0
2026-01-13 14:19:17.161000+00:00,bosch_acc_x,-5076.0,SMART_DATA,0,0
2026-01-13 14:19:17.181000+00:00,bosch_acc_x,-4520.0,SMART_DATA,0,0
2026-01-13 14:19:17.201000+00:00,bosch_acc_x,-4292.0,SMART_DATA,0,0
2026-01-13 14:19:17.221000+00:00,bosch_acc_x,-4139.0,SMART_DATA,0,0
2026-01-13 14:19:17.241000+00:00,bosch_acc_x,-4073.0,SMART_DATA,0,0
2026-01-13 14:19:17.261000+00:00,bosch_acc_x,-4023.0,SMART_DATA,0,0
2026-01-13 14:19:17.281000+00:00,bosch_acc_x,-3926.0,SMART_DATA,0,0
2026-01-13 14:19:17.301000+00:00,bosch_acc_x,-3815.0,SMART_DATA,0,0
2026-01-13 14:19:17.321000+00:00,bosch_acc_x,-3763.0,SMART_DATA,0,0
2026-01-13 14:19:17.342000+00:00,bosch_acc_x,-3793.0,SMART_DATA,0,0
2026-01-13 14:19:17.362000+00:00,bosch_acc_x,-3666.0,SMART_DATA,0,0
2026-01-13 14:19:17.382000+00:00,bosch_acc_x,-3536.0,SMART_DATA,0,0
2026-01-13 14:19:17.402000+00:00,bosch_acc_x,-3578.0,SMART_DATA,0,0
2026-01-13 14:19:17.422000+00:00,bosch_acc_x,-3695.0,SMART_DATA,0,0
2026-01-13 14:19:17.442000+00:00,bosch_acc_x,-3729.0,SMART_DATA,0,0
2026-01-13 14:19:17.462000+00:00,bosch_acc_x,-3824.0,SMART_DATA,0,0
2026-01-13 14:19:17.482000+00:00,bosch_acc_x,-3910.0,SMART_DATA,0,0
2026-01-13 14:19:17.502000+00:00,bosch_acc_x,-4038.0,SMART_DATA,0,0
2026-01-13 14:19:17.522000+00:00,bosch_acc_x,-3800.0,SMART_DATA,0,0
2026-01-13 14:19:17.542000+00:00,bosch_acc_x,-3548.0,SMART_DATA,0,0
2026-01-13 14:19:17.562000+00:00,bosch_acc_x,-3679.0,SMART_DATA,0,0
2026-01-13 14:19:17.583000+00:00,bosch_acc_x,-4091.0,SMART_DATA,0,0
2026-01-13 14:19:17.603000+00:00,bosch_acc_x,-4973.0,SMART_DATA,0,0
2026-01-13 14:19:17.623000+00:00,bosch_acc_x,-5563.0,SMART_DATA,0,0
2026-01-13 14:19:17.643000+00:00,bosch_acc_x,-4958.0,SMART_DATA,0,0
2026-01-13 14:19:17.663000+00:00,bosch_acc_x,-4219.0,SMART_DATA,0,0
2026-01-13 14:19:17.683000+00:00,bosch_acc_x,-3561.0,SMART_DATA,0,0
2026-01-13 14:19:17.703000+00:00,bosch_acc_x,-3046.0,SMART_DATA,0,0
2026-01-13 14:19:17.723000+00:00,bosch_acc_x,-4173.0,SMART_DATA,0,0
2026-01-13 14:19:17.743000+00:00,bosch_acc_x,-6441.0,SMART_DATA,0,0
2026-01-13 14:19:17.763000+00:00,bosch_acc_x,-7902.0,SMART_DATA,0,0
2026-01-13 14:19:17.783000+00:00,bosch_acc_x,-7219.0,SMART_DATA,0,0
