# Detection Metadata
detection_timestamp_utc,detection_timestamp_local,timezone_offset_hours,confidence,fall_detected,participant_name,participant_gender
2026-01-13T14:15:05.852842+00:00,2026-01-13T16:15:05.852842+00:00,2.0,0.000809526420198381,False,Sato_1,0

# Sensor Data
time,field,value,measurement,prediction,participant_gender
2026-01-13 14:14:53.534000+00:00,bosch_acc_x,-2622.0,SMART_DATA,0,0
2026-01-13 14:14:53.555000+00:00,bosch_acc_x,-2632.0,SMART_DATA,0,0
2026-01-13 14:14:53.575000+00:00,bosch_acc_x,-2745.0,SMART_DATA,0,0
2026-01-13 14:14:53.595000+00:00,bosch_acc_x,-2932.0,SMART_DATA,0,0
2026-01-13 14:14:53.615000+00:00,bosch_acc_x,-3143.0,SMART_DATA,0,0
2026-01-13 14:14:53.635000+00:00,bosch_acc_x,-3460.0,SMART_DATA,0,0
2026-01-13 14:14:53.655000+00:00,bosch_acc_x,-4097.0,SMART_DATA,0,0
2026-01-13 14:14:53.675000+00:00,bosch_acc_x,-4938.0,SMART_DATA,0,0
2026-01-13 14:14:53.695000+00:00,bosch_acc_x,-5595.0,SMART_DATA,0,0
2026-01-13 14:14:53.715000+00:00,bosch_acc_x,-5589.0,SMART_DATA,0,0
2026-01-13 14:14:53.735000+00:00,bosch_acc_x,-5016.0,SMART_DATA,0,0
2026-01-13 14:14:53.755000+00:00,bosch_acc_x,-4968.0,SMART_DATA,0,0
2026-01-13 14:14:53.776000+00:00,bosch_acc_x,-5476.0,SMART_DATA,0,0
2026-01-13 14:14:53.796000+00:00,bosch_acc_x,-6093.0,SMART_DATA,0,0
2026-01-13 14:14:53.816000+00:00,bosch_acc_x,-6529.0,SMART_DATA,0,0
2026-01-13 14:14:53.836000+00:00,bosch_acc_x,-6199.0,SMART_DATA,0,0
2026-01-13 14:14:53.856000+00:00,bosch_acc_x,-5480.0,SMART_DATA,0,0
2026-01-13 14:14:53.876000+00:00,bosch_acc_x,-4717.0,SMART_DATA,0,0
2026-01-13 14:14:53.896000+00:00,bosch_acc_x,-4136.0,SMART_DATA,0,0
2026-01-13 14:14:53.916000+00:00,bosch_acc_x,-4029.0,SMART_DATA,0,0
2026-01-13 14:14:53.936000+00:00,bosch_acc_x,-3952.0,SMART_DATA,0,0
2026-01-13 14:14:53.956000+00:00,bosch_acc_x,-3879.0,SMART_DATA,0,0
2026-01-13 14:14:53.976000+00:00,bosch_acc_x,-3810.0,SMART_DATA,0,0
2026-01-13 14:14:53.996000+00:00,bosch_acc_x,-3630.0,SMART_DATA,0,0
2026-01-13 14:14:54.017000+00:00,bosch_acc_x,-3516.0,SMART_DATA,0,0
2026-01-13 14:14:54.037000+00:00,bosch_acc_x,-3402.0,SMART_DATA,0,0
2026-01-13 14:14:54.057000+00:00,bosch_acc_x,-3264.0,SMART_DATA,0,0
2026-01-13 14:14:54.077000+00:00,bosch_acc_x,-3063.0,SMART_DATA,0,0
2026-01-13 14:14:54.097000+00:00,bosch_acc_x,-2991.0,SMART_DATA,0,0
2026-01-13 14:14:54.117000+00:00,bosch_acc_x,-3036.0,SMART_DATA,0,0
2026-01-13 14:14:54.137000+00:00,bosch_acc_x,-3200.0,SMART_DATA,0,0
2026-01-13 14:14:54.157000+00:00,bosch_acc_x,-3583.0,SMART_DATA,0,0
2026-01-13 14:14:54.177000+00:00,bosch_acc_x,-4239.0,SMART_DATA,0,0
2026-01-13 14:14:54.197000+00:00,bosch_acc_x,-4937.0,SMART_DATA,0,0
2026-01-13 14:14:54.217000+00:00,bosch_acc_x,-5898.0,SMART_DATA,0,0
2026-01-13 14:14:54.237000+00:00,bosch_acc_x,-6353.0,SMART_DATA,0,0
2026-01-13 14:14:54.258000+00:00,bosch_acc_x,-5400.0,SMART_DATA,0,0
2026-01-13 14:14:54.278000+00:00,bosch_acc_x,-4389.0,SMART_DATA,0,0
2026-01-13 14:14:54.298000+00:00,bosch_acc_x,-4314.0,SMART_DATA,0,0
2026-01-13 14:14:54.318000+00:00,bosch_acc_x,-5109.0,SMART_DATA,0,0
2026-01-13 14:14:54.338000+00:00,bosch_acc_x,-6022.0,SMART_DATA,0,0
2026-01-13 14:14:54.358000+00:00,bosch_acc_x,-6334.0,SMART_DATA,0,0
2026-01-13 14:14:54.378000+00:00,bosch_acc_x,-5883.0,SMART_DATA,0,0
2026-01-13 14:14:54.398000+00:00,bosch_acc_x,-5155.0,SMART_DATA,0,0
2026-01-13 14:14:54.418000+00:00,bosch_acc_x,-4907.0,SMART_DATA,0,0
2026-01-13 14:14:54.438000+00:00,bosch_acc_x,-4490.0,SMART_DATA,0,0
2026-01-13 14:14:54.458000+00:00,bosch_acc_x,-4070.0,SMART_DATA,0,0
2026-01-13 14:14:54.479000+00:00,bosch_acc_x,-3984.0,SMART_DATA,0,0
2026-01-13 14:14:54.499000+00:00,bosch_acc_x,-4107.0,SMART_DATA,0,0
2026-01-13 14:14:54.519000+00:00,bosch_acc_x,-4256.0,SMART_DATA,0,0
2026-01-13 14:14:54.539000+00:00,bosch_acc_x,-4189.0,SMART_DATA,0,0
2026-01-13 14:14:54.559000+00:00,bosch_acc_x,-4124.0,SMART_DATA,0,0
2026-01-13 14:14:54.579000+00:00,bosch_acc_x,-4076.0,SMART_DATA,0,0
2026-01-13 14:14:54.599000+00:00,bosch_acc_x,-3925.0,SMART_DATA,0,0
2026-01-13 14:14:54.619000+00:00,bosch_acc_x,-3666.0,SMART_DATA,0,0
2026-01-13 14:14:54.639000+00:00,bosch_acc_x,-3221.0,SMART_DATA,0,0
2026-01-13 14:14:54.659000+00:00,bosch_acc_x,-3384.0,SMART_DATA,0,0
2026-01-13 14:14:54.679000+00:00,bosch_acc_x,-3591.0,SMART_DATA,0,0
2026-01-13 14:14:54.699000+00:00,bosch_acc_x,-3153.0,SMART_DATA,0,0
2026-01-13 14:14:54.720000+00:00,bosch_acc_x,-2489.0,SMART_DATA,0,0
2026-01-13 14:14:54.740000+00:00,bosch_acc_x,-2059.0,SMART_DATA,0,0
2026-01-13 14:14:54.760000+00:00,bosch_acc_x,-2004.0,SMART_DATA,0,0
2026-01-13 14:14:54.780000+00:00,bosch_acc_x,-2085.0,SMART_DATA,0,0
2026-01-13 14:14:54.800000+00:00,bosch_acc_x,-2445.0,SMART_DATA,0,0
2026-01-13 14:14:54.820000+00:00,bosch_acc_x,-2880.0,SMART_DATA,0,0
2026-01-13 14:14:54.840000+00:00,bosch_acc_x,-1533.0,SMART_DATA,0,0
2026-01-13 14:14:54.860000+00:00,bosch_acc_x,-623.0,SMART_DATA,0,0
2026-01-13 14:14:54.880000+00:00,bosch_acc_x,-1301.0,SMART_DATA,0,0
2026-01-13 14:14:54.900000+00:00,bosch_acc_x,-1784.0,SMART_DATA,0,0
2026-01-13 14:14:54.920000+00:00,bosch_acc_x,-1942.0,SMART_DATA,0,0
2026-01-13 14:14:54.940000+00:00,bosch_acc_x,-1841.0,SMART_DATA,0,0
2026-01-13 14:14:54.961000+00:00,bosch_acc_x,-1597.0,SMART_DATA,0,0
2026-01-13 14:14:54.981000+00:00,bosch_acc_x,-941.0,SMART_DATA,0,0
2026-01-13 14:14:55.001000+00:00,bosch_acc_x,-321.0,SMART_DATA,0,0
2026-01-13 14:14:55.021000+00:00,bosch_acc_x,34.0,SMART_DATA,0,0
2026-01-13 14:14:55.041000+00:00,bosch_acc_x,111.0,SMART_DATA,0,0
2026-01-13 14:14:55.061000+00:00,bosch_acc_x,207.0,SMART_DATA,0,0
2026-01-13 14:14:55.081000+00:00,bosch_acc_x,192.0,SMART_DATA,0,0
2026-01-13 14:14:55.101000+00:00,bosch_acc_x,211.0,SMART_DATA,0,0
2026-01-13 14:14:55.121000+00:00,bosch_acc_x,327.0,SMART_DATA,0,0
2026-01-13 14:14:55.141000+00:00,bosch_acc_x,702.0,SMART_DATA,0,0
2026-01-13 14:14:55.161000+00:00,bosch_acc_x,868.0,SMART_DATA,0,0
2026-01-13 14:14:55.181000+00:00,bosch_acc_x,749.0,SMART_DATA,0,0
2026-01-13 14:14:55.202000+00:00,bosch_acc_x,825.0,SMART_DATA,0,0
2026-01-13 14:14:55.222000+00:00,bosch_acc_x,1166.0,SMART_DATA,0,0
